Rank,Player,Club,Nationality,Stat
4,Rekeem Harper,,England,30
4,Patrick Cutrone,,Italy,23
4,Oskar Buur,,Denmark,22
4,Islam Slimani,,Algeria,19
4,Carney Chukwuemeka,,England,18
4,Demarai Gray,,England,18
4,Wes Morgan,,Jamaica,16
4,Rúnar Rúnarsson,,Iceland,16
4,Wesley,,Brazil,15
4,Neil Taylor,,Wales,15
5,Tyrese Francois,,Australia,14
5,Moise Kean,,Italy,13
5,Allan Tchaptchet,,France,12
5,Jean-Philippe Gbamin,,Cote D’Ivoire,11
5,Iliman Ndiaye,Sheffield United,Senegal,11
5,Antwoine Hackford,Sheffield United,England,10
5,Odion Ighalo,,Nigeria,9
5,Thakgalo Leshabela,,South Africa,9
5,Shola Shoretire,,England,9
5,Theo Corbeanu,,Canada,8
5,José Izquierdo,,Colombia,8
5,Hannibal Mejbri,,Tunisia,8
5,Konstantinos Tsimikas,Liverpool,Greece,6
5,Reda Khadra,,Germany,4
5,Elliot Anderson,Newcastle United,Scotland,3
5,Alexandre Jankewitz,,Switzerland,3
5,Lewis Richardson,Burnley,England,3
5,Nathan Broadhead,,Wales,2
5,Felipe Anderson,,Brazil,2
5,William Fish,,England,1
5,Martin Kelly,,England,1
5,Jayson Molumby,,Ireland,1
5,Jaden Philogene,,England,1
5,Dane Scarlett,,England,1
5,Femi Seriki,,England,1
